Survived,Pclass,Sex,Age,Embarked,Title,Deck,FamilySize,IsAlone,FarePerPerson
0,3,male,22.0,S,Mr,U,2,0,3.625
1,1,female,38.0,C,Mrs,C,2,0,35.64165
1,3,female,26.0,S,Miss,U,1,1,7.925
1,1,female,35.0,S,Mrs,C,2,0,26.55
0,3,male,35.0,S,Mr,U,1,1,8.05
0,3,male,26.0,Q,Mr,U,1,1,8.4583
0,1,male,54.0,S,Mr,E,1,1,51.8625
0,3,male,2.0,S,Master,U,5,0,4.215
1,3,female,27.0,S,Mrs,U,3,0,3.7111
1,2,female,14.0,C,Mrs,U,2,0,15.0354
1,3,female,4.0,S,Miss,G,3,0,5.566666666666666
1,1,female,58.0,S,Miss,C,1,1,26.55
0,3,male,20.0,S,Mr,U,1,1,8.05
0,3,male,39.0,S,Mr,U,7,0,4.4678571428571425
0,3,female,14.0,S,Miss,U,1,1,7.8542
1,2,female,55.0,S,Mrs,U,1,1,16.0
0,3,male,2.0,Q,Master,U,6,0,4.854166666666667
1,2,male,31.0,S,Mr,U,1,1,13.0
0,3,female,31.0,S,Mrs,U,2,0,9.0
1,3,female,31.0,C,Mrs,U,1,1,7.225
0,2,male,35.0,S,Mr,U,1,1,26.0
1,2,male,34.0,S,Mr,D,1,1,13.0
1,3,female,15.0,Q,Miss,U,1,1,8.0292
1,1,male,28.0,S,Mr,A,1,1,35.5
0,3,female,8.0,S,Miss,U,5,0,4.215
1,3,female,38.0,S,Mrs,U,7,0,4.483928571428572
0,3,male,26.0,C,Mr,U,1,1,7.225
0,1,male,19.0,S,Mr,C,6,0,43.833333333333336
1,3,female,18.0,Q,Miss,U,1,1,7.8792
0,3,male,26.0,S,Mr,U,1,1,7.8958
0,1,male,40.0,C,Rare,U,1,1,27.7208
1,1,female,40.0,C,Mrs,B,2,0,73.2604
1,3,female,18.0,Q,Miss,U,1,1,7.75
0,2,male,66.0,S,Mr,U,1,1,10.5
0,1,male,28.0,C,Mr,U,2,0,41.0854
0,1,male,42.0,S,Mr,U,2,0,26.0
1,3,male,26.0,C,Mr,U,1,1,7.2292
0,3,male,21.0,S,Mr,U,1,1,8.05
0,3,female,18.0,S,Miss,U,3,0,6.0
1,3,female,14.0,C,Miss,U,2,0,5.62085
0,3,female,40.0,S,Mrs,U,2,0,4.7375
0,2,female,27.0,S,Mrs,U,2,0,10.5
0,3,male,26.0,C,Mr,U,1,1,7.8958
1,2,female,3.0,C,Miss,U,4,0,10.3948
1,3,female,19.0,Q,Miss,U,1,1,7.8792
0,3,male,26.0,S,Mr,U,1,1,8.05
0,3,male,26.0,Q,Mr,U,2,0,7.75
0,3,male,26.0,C,Mr,U,3,0,7.226400000000001
0,3,female,18.0,S,Mrs,U,2,0,8.9
0,3,male,7.0,S,Master,U,6,0,6.614583333333333
0,3,male,21.0,S,Mr,U,1,1,7.8
1,1,female,49.0,C,Mrs,D,2,0,38.3646
1,2,female,29.0,S,Mrs,U,2,0,13.0
0,1,male,65.0,C,Mr,B,2,0,30.9896
1,1,male,40.0,S,Mr,C,1,1,35.5
1,2,female,21.0,S,Miss,U,1,1,10.5
0,3,male,28.5,C,Mr,U,1,1,7.2292
1,2,female,5.0,S,Miss,U,4,0,6.9375
0,3,male,11.0,S,Master,U,8,0,5.8625
0,3,male,22.0,C,Mr,U,1,1,7.2292
1,1,female,38.0,S,Miss,B,1,1,80.0
0,1,male,45.0,S,Mr,C,2,0,41.7375
0,3,male,4.0,S,Master,U,6,0,4.6499999999999995
0,1,male,40.0,C,Mr,U,1,1,27.7208
1,3,male,4.0,C,Master,U,3,0,5.081933333333333
1,2,female,29.0,S,Mrs,F,1,1,10.5
0,3,male,19.0,S,Mr,U,1,1,8.1583
1,3,female,17.0,S,Miss,U,7,0,1.1321428571428571
0,3,male,26.0,S,Mr,U,3,0,2.8874999999999997
0,2,male,32.0,S,Mr,U,1,1,10.5
0,3,female,16.0,S,Miss,U,8,0,5.8625
0,2,male,21.0,S,Mr,U,1,1,73.5
0,3,male,26.0,C,Mr,U,2,0,7.2271
1,3,male,32.0,S,Mr,U,1,1,56.4958
0,3,male,25.0,S,Mr,F,1,1,7.65
1,2,male,0.8,S,Master,U,3,0,9.666666666666666
1,3,female,30.0,S,Miss,U,1,1,12.475
0,3,male,22.0,S,Mr,U,1,1,9.0
1,3,male,29.0,S,Mr,U,1,1,9.5
1,3,female,18.0,Q,Miss,U,1,1,7.7875
0,1,male,28.0,S,Mr,U,1,1,47.1
1,2,female,17.0,S,Miss,U,1,1,10.5
1,3,female,33.0,S,Mrs,U,4,0,3.9625
0,3,male,16.0,S,Mr,U,5,0,6.875
1,1,female,23.0,S,Miss,C,6,0,43.833333333333336
0,3,male,24.0,S,Mr,U,1,1,8.05
0,3,male,29.0,S,Mr,U,1,1,8.05
0,3,male,20.0,S,Mr,U,1,1,7.8542
0,1,male,46.0,S,Mr,E,2,0,30.5875
0,3,male,26.0,S,Mr,U,4,0,5.14375
0,3,male,59.0,S,Mr,U,1,1,7.25
0,1,male,71.0,C,Mr,A,1,1,34.6542
1,1,male,23.0,C,Mr,D,2,0,31.67915
1,2,female,34.0,S,Mrs,U,2,0,11.5
0,2,male,34.0,S,Mr,U,2,0,13.0
0,3,female,28.0,S,Miss,U,1,1,7.8958
0,1,male,21.0,S,Mr,D,2,0,38.64375
0,3,male,33.0,S,Mr,U,1,1,8.6542
0,3,male,37.0,S,Mr,U,3,0,2.6416666666666666
0,3,male,28.0,S,Mr,U,1,1,7.8958
1,3,female,21.0,S,Miss,U,1,1,7.65
1,3,male,26.0,S,Mr,U,1,1,7.775
0,3,male,38.0,S,Mr,U,1,1,7.8958
1,3,female,18.0,Q,Miss,U,2,0,12.075
0,1,male,47.0,S,Mr,C,1,1,52.0
0,3,female,14.5,C,Miss,U,2,0,7.2271
0,3,male,22.0,S,Mr,U,1,1,8.05
0,3,female,20.0,S,Miss,U,2,0,4.9125
0,3,female,17.0,C,Miss,U,1,1,14.4583
0,3,male,21.0,S,Mr,U,1,1,7.925
0,3,male,70.5,Q,Mr,U,1,1,7.75
0,2,male,29.0,S,Mr,U,2,0,10.5
0,1,male,24.0,C,Mr,B,2,0,123.7604
0,3,female,2.0,S,Miss,U,7,0,4.4678571428571425
0,2,male,21.0,S,Mr,U,3,0,24.5
0,2,male,32.5,C,Mr,U,2,0,15.0354
1,2,female,32.5,S,Miss,E,1,1,13.0
0,1,male,54.0,S,Mr,D,2,0,38.64375
1,3,male,12.0,C,Master,U,2,0,5.62085
0,3,male,26.0,Q,Mr,U,1,1,7.75
1,3,male,24.0,S,Mr,U,1,1,7.1417
1,3,female,18.0,C,Miss,F,3,0,7.452766666666666
0,3,male,45.0,S,Mr,U,1,1,6.975
0,3,male,33.0,C,Mr,U,1,1,7.8958
0,3,male,20.0,S,Mr,U,1,1,7.05
0,3,female,47.0,S,Mrs,U,2,0,7.25
0,2,male,25.0,S,Mr,U,1,1,13.0
0,2,male,23.0,C,Mr,U,1,1,15.0458
1,1,female,19.0,S,Miss,D,3,0,8.7611
0,1,male,37.0,S,Mr,C,2,0,26.55
0,3,male,16.0,S,Mr,U,1,1,9.2167
0,1,male,24.0,C,Mr,B,1,1,79.2
0,3,female,31.0,C,Mrs,U,3,0,5.081933333333333
1,3,female,22.0,S,Miss,U,1,1,7.75
1,3,female,24.0,S,Mrs,U,2,0,7.925
0,3,male,19.0,Q,Mr,U,1,1,6.75
0,2,male,18.0,S,Mr,U,1,1,11.5
0,2,male,19.0,S,Mr,U,3,0,12.25
1,3,male,27.0,S,Mr,U,1,1,7.7958
0,3,female,9.0,S,Miss,U,5,0,6.875
0,2,male,36.5,S,Mr,F,3,0,8.666666666666666
0,2,male,42.0,S,Rare,U,1,1,13.0
0,2,male,51.0,S,Rare,U,1,1,12.525
1,1,female,22.0,S,Mrs,C,2,0,33.3
0,3,male,55.5,S,Mr,U,1,1,8.05
0,3,male,40.5,S,Mr,U,3,0,4.833333333333333
0,3,male,26.0,S,Mr,U,1,1,7.3125
0,1,male,51.0,C,Mr,U,2,0,30.6896
1,3,female,16.0,Q,Miss,U,1,1,7.7333
0,3,male,30.0,S,Mr,U,1,1,8.05
0,3,male,26.0,S,Mr,U,1,1,8.6625
0,3,male,4.0,S,Master,U,11,0,6.322727272727272
0,3,male,44.0,S,Mr,U,2,0,8.05
1,2,female,40.0,S,Mrs,U,1,1,15.75
0,3,male,26.0,S,Mr,U,1,1,7.775
0,3,male,17.0,S,Mr,U,1,1,8.6625
0,3,male,1.0,S,Master,U,6,0,6.614583333333333
1,3,male,9.0,S,Master,U,3,0,6.841666666666666
1,1,female,40.0,S,Mrs,E,2,0,27.5
0,3,female,45.0,S,Mrs,U,6,0,4.6499999999999995
0,1,male,40.0,S,Mr,U,1,1,25.925
0,3,male,28.0,S,Mr,U,1,1,56.4958
0,1,male,61.0,S,Mr,B,1,1,33.5
0,3,male,4.0,Q,Master,U,6,0,4.854166666666667
1,3,female,1.0,S,Miss,U,3,0,3.7111
0,1,male,56.0,C,Mr,A,1,1,30.6958
0,3,male,18.0,S,Mr,U,3,0,2.6180666666666665
0,3,male,4.0,S,Master,U,5,0,5.0933399999999995
0,1,female,50.0,C,Miss,C,1,1,28.7125
0,2,male,30.0,S,Mr,U,1,1,13.0
0,3,male,36.0,S,Mr,U,1,1,8.6625
0,3,female,18.0,S,Miss,U,11,0,6.322727272727272
0,2,male,31.0,C,Mr,U,1,1,15.05
0,3,male,9.0,S,Master,U,7,0,4.483928571428572
1,2,male,1.0,S,Master,F,4,0,9.75
1,3,female,4.0,S,Miss,U,3,0,7.341666666666666
0,1,male,40.0,S,Mr,A,1,1,50.0
1,3,female,31.0,Q,Mrs,U,2,0,7.75
1,1,male,45.0,S,Mr,U,1,1,26.55
0,3,male,40.0,Q,Mr,U,3,0,5.166666666666667
0,3,male,36.0,S,Mr,U,1,1,7.8958
1,2,female,32.0,S,Mrs,U,1,1,13.0
0,2,male,19.0,S,Mr,U,1,1,13.0
1,3,female,19.0,S,Miss,U,2,0,3.9271
1,2,male,3.0,S,Master,F,3,0,8.666666666666666
1,1,female,44.0,C,Mrs,B,1,1,27.7208
1,1,female,58.0,C,Miss,B,1,1,146.5208
0,3,male,42.0,S,Mr,U,2,0,4.2021
0,2,female,24.0,S,Miss,U,1,1,13.0
0,3,male,28.0,S,Mr,U,1,1,9.5
0,3,male,26.0,S,Mr,U,11,0,6.322727272727272
0,3,male,34.0,S,Mr,U,1,1,6.4958
0,3,male,45.5,C,Mr,U,1,1,7.225
1,3,male,18.0,S,Mr,U,1,1,8.05
0,3,female,2.0,S,Miss,G,2,0,5.23125
0,3,male,32.0,S,Mr,U,2,0,7.925
1,3,male,26.0,C,Mr,U,1,1,18.7875
1,3,female,16.0,Q,Miss,U,1,1,7.75
1,1,male,40.0,C,Mr,A,1,1,31.0
0,3,male,24.0,S,Mr,U,1,1,7.05
1,2,female,35.0,S,Miss,U,1,1,21.0
0,3,male,22.0,S,Mr,U,1,1,7.25
0,3,male,26.0,Q,Mr,U,2,0,3.875
1,1,female,31.0,C,Miss,D,2,0,56.6375
1,3,female,27.0,S,Miss,U,1,1,7.925
0,2,male,42.0,S,Mr,U,2,0,13.5
1,1,female,32.0,C,Miss,D,1,1,76.2917
0,2,male,30.0,S,Mr,U,1,1,10.5
1,3,male,16.0,S,Mr,U,1,1,8.05
0,2,male,27.0,S,Mr,U,1,1,13.0
0,3,male,51.0,S,Mr,U,1,1,8.05
1,1,male,38.0,S,Mr,C,2,0,45.0
0,3,male,22.0,S,Mr,U,1,1,9.35
1,2,male,19.0,S,Mr,U,1,1,10.5
0,3,male,20.5,S,Mr,U,1,1,7.25
0,2,male,18.0,S,Mr,U,1,1,13.0
0,3,female,18.0,S,Miss,U,5,0,5.0933399999999995
1,1,female,35.0,S,Mrs,C,2,0,41.7375
0,3,male,29.0,S,Mr,U,1,1,7.775
0,2,male,59.0,S,Mr,U,1,1,13.5
1,3,female,5.0,S,Miss,U,7,0,4.483928571428572
0,2,male,24.0,S,Mr,U,1,1,10.5
0,3,female,18.0,S,Miss,U,1,1,7.55
0,2,male,44.0,S,Mr,U,2,0,13.0
1,2,female,8.0,S,Miss,U,3,0,8.75
0,2,male,19.0,S,Mr,U,1,1,10.5
0,2,male,33.0,S,Mr,U,1,1,12.275
0,3,female,18.0,C,Miss,U,2,0,7.2271
1,3,female,18.0,Q,Miss,U,2,0,7.75
0,2,male,29.0,S,Mr,U,1,1,10.5
0,3,male,22.0,S,Mr,U,1,1,7.125
0,3,male,30.0,C,Mr,U,1,1,7.225
0,1,male,44.0,Q,Rare,C,3,0,30.0
0,3,female,25.0,S,Miss,U,1,1,7.775
1,2,female,24.0,S,Mrs,U,3,0,4.833333333333333
1,1,male,37.0,S,Mr,D,3,0,17.518066666666666
0,2,male,54.0,S,Rare,U,2,0,13.0
0,3,male,26.0,S,Mr,U,1,1,7.25
0,3,female,29.0,S,Mrs,G,3,0,3.4875000000000003
0,1,male,62.0,S,Mr,C,1,1,26.55
0,3,male,30.0,S,Mr,U,2,0,8.05
0,3,female,41.0,S,Mrs,U,3,0,6.7375
1,3,female,29.0,C,Mrs,U,3,0,5.081933333333333
1,1,female,40.0,C,Mrs,U,1,1,79.2
1,1,female,30.0,S,Miss,B,1,1,86.5
1,1,female,35.0,C,Miss,U,1,1,512.3292
1,2,female,50.0,S,Mrs,U,2,0,13.0
1,3,male,3.0,S,Master,U,7,0,4.483928571428572
0,1,male,52.0,S,Mr,E,3,0,26.55
0,1,male,40.0,S,Mr,B,1,1,8.6625
0,3,female,18.0,Q,Miss,U,1,1,7.75
0,2,male,36.0,S,Mr,U,1,1,10.5
0,3,male,16.0,S,Mr,U,6,0,6.614583333333333
1,3,male,25.0,S,Mr,U,2,0,3.8875
1,1,female,58.0,S,Mrs,C,2,0,76.73125
1,1,female,35.0,S,Miss,C,1,1,135.6333
0,1,male,40.0,S,Mr,U,1,1,31.0
1,3,male,25.0,S,Mr,U,1,1,8.6625
1,2,female,41.0,S,Mrs,U,2,0,9.75
0,1,male,37.0,C,Mr,C,2,0,14.85
1,1,female,63.0,S,Miss,D,2,0,38.97915
0,3,female,45.0,S,Miss,U,1,1,7.75
0,2,male,31.0,S,Mr,U,1,1,8.6625
0,3,male,7.0,Q,Master,U,6,0,4.854166666666667
1,3,female,35.0,S,Mrs,U,3,0,6.75
0,3,male,65.0,Q,Mr,U,1,1,7.75
0,3,male,28.0,S,Mr,U,1,1,7.8542
0,3,male,16.0,S,Mr,U,1,1,9.5
1,3,male,19.0,S,Mr,U,1,1,8.05
0,1,male,40.0,S,Mr,A,1,1,26.0
0,3,male,33.0,C,Mr,U,1,1,8.6625
1,3,male,30.0,S,Mr,U,1,1,9.5
0,3,male,22.0,S,Mr,U,1,1,7.8958
1,2,male,42.0,S,Mr,U,1,1,13.0
1,3,female,22.0,Q,Miss,U,1,1,7.75
1,1,female,26.0,S,Miss,U,1,1,78.85
1,1,female,19.0,C,Mrs,B,2,0,45.5396
0,2,male,36.0,C,Mr,D,1,1,12.875
0,3,female,24.0,S,Miss,U,1,1,8.85
0,3,male,24.0,S,Mr,U,1,1,7.8958
0,3,male,23.5,C,Mr,U,1,1,7.2292
0,1,female,2.0,S,Miss,C,4,0,37.8875
1,1,male,40.0,S,Mr,C,1,1,30.5
1,1,female,50.0,C,Mrs,B,2,0,123.7604
1,3,male,26.0,Q,Mr,U,3,0,7.75
0,3,male,19.0,S,Mr,U,1,1,8.6625
1,2,female,24.0,Q,Miss,E,1,1,12.35
1,1,male,0.9,S,Master,C,4,0,37.8875
1,1,female,30.0,C,Miss,U,1,1,110.8833
1,1,female,17.0,C,Mrs,C,2,0,54.45
0,2,male,30.0,C,Mr,U,2,0,12.0
1,1,female,30.0,C,Miss,E,1,1,56.9292
1,1,female,24.0,C,Miss,C,1,1,83.1583
1,1,female,18.0,C,Miss,B,5,0,52.475
0,2,female,26.0,S,Mrs,U,3,0,8.666666666666666
0,2,male,43.0,S,Mr,U,3,0,8.75
1,3,female,26.0,S,Miss,U,1,1,7.8542
1,2,female,24.0,S,Mrs,U,2,0,13.0
0,2,male,54.0,S,Rare,U,1,1,14.0
1,1,female,31.0,S,Miss,C,3,0,54.95556666666667
1,1,female,40.0,C,Mrs,E,3,0,44.833333333333336
0,3,male,27.0,S,Mr,U,1,1,7.8958
1,2,female,30.0,Q,Miss,U,1,1,12.35
1,2,female,22.0,S,Mrs,U,3,0,9.666666666666666
1,1,female,36.0,C,Miss,C,1,1,135.6333
0,3,male,61.0,S,Mr,U,1,1,6.2375
1,2,female,36.0,S,Mrs,D,1,1,13.0
1,3,female,31.0,S,Mrs,U,3,0,6.841666666666666
1,1,female,16.0,C,Miss,B,2,0,28.9896
1,3,female,18.0,Q,Miss,U,3,0,7.75
0,1,male,45.5,S,Mr,C,1,1,28.5
0,1,male,38.0,S,Mr,C,2,0,76.73125
0,3,male,16.0,S,Mr,U,3,0,6.0
1,1,female,40.0,S,Mrs,U,2,0,66.825
0,1,male,29.0,S,Mr,C,2,0,33.3
1,1,female,41.0,C,Miss,E,1,1,134.5
1,3,male,45.0,S,Mr,U,1,1,8.05
1,2,male,2.0,S,Master,F,3,0,8.666666666666666
1,1,female,24.0,S,Miss,C,6,0,43.833333333333336
0,2,male,28.0,S,Mr,U,1,1,13.0
0,2,male,36.0,S,Mr,U,1,1,13.0
1,2,female,24.0,S,Miss,F,1,1,13.0
1,2,female,40.0,S,Miss,U,1,1,13.0
1,3,female,31.0,S,Mrs,U,2,0,8.05
1,3,male,3.0,S,Master,U,3,0,5.3
0,3,male,42.0,S,Mr,U,1,1,8.6625
0,3,male,23.0,S,Mr,U,1,1,9.225
0,1,male,40.0,S,Mr,C,1,1,35.0
0,3,male,15.0,C,Mr,U,3,0,2.409733333333333
0,3,male,25.0,S,Mr,U,2,0,8.9
1,1,female,22.0,S,Miss,E,2,0,27.5
0,2,female,38.0,S,Miss,U,1,1,13.0
0,3,male,40.0,S,Mr,U,6,0,4.6499999999999995
0,2,male,29.0,C,Mr,U,2,0,13.8604
0,3,female,45.0,C,Mrs,U,2,0,7.2271
0,3,male,35.0,S,Mr,U,1,1,7.05
0,3,male,30.0,S,Mr,U,1,1,7.25
1,1,female,60.0,C,Mrs,D,2,0,37.625
1,3,female,31.0,C,Mrs,U,1,1,7.2292
1,1,female,24.0,C,Mrs,B,1,1,69.3
1,1,male,25.0,C,Mr,E,2,0,27.72085
0,3,male,18.0,S,Mr,U,2,0,3.2479
0,3,male,19.0,S,Mr,U,1,1,8.05
0,1,male,22.0,C,Mr,U,1,1,135.6333
0,3,female,3.0,S,Miss,U,5,0,4.215
1,1,female,40.0,C,Mrs,U,2,0,41.0854
1,3,female,22.0,S,Miss,U,1,1,7.25
0,1,male,27.0,C,Mr,C,3,0,70.5
0,3,male,20.0,C,Mr,U,1,1,4.0125
0,3,male,19.0,S,Mr,U,1,1,7.775
1,1,female,42.0,C,Miss,U,1,1,227.525
1,3,female,1.0,C,Miss,U,3,0,5.247233333333333
0,3,male,32.0,S,Mr,U,1,1,7.925
1,1,female,35.0,S,Mrs,U,2,0,26.0
0,2,male,18.0,S,Mr,U,1,1,73.5
0,3,male,1.0,S,Master,U,8,0,5.8625
1,2,female,36.0,S,Miss,U,1,1,13.0
0,3,male,26.0,Q,Mr,U,1,1,7.7292
1,2,female,17.0,C,Miss,U,1,1,12.0
1,1,male,36.0,S,Mr,B,4,0,30.0
1,3,male,21.0,S,Mr,U,1,1,7.7958
0,3,male,28.0,S,Mr,U,3,0,2.6416666666666666
1,1,female,23.0,C,Miss,D,2,0,56.6375
1,3,female,24.0,S,Mrs,G,3,0,5.566666666666666
0,3,male,22.0,S,Mr,U,1,1,7.7958
0,3,female,31.0,S,Miss,U,1,1,7.8542
0,2,male,46.0,S,Mr,U,1,1,26.0
0,2,male,23.0,S,Rare,U,1,1,10.5
1,2,female,28.0,S,Mrs,U,1,1,12.65
1,3,male,39.0,S,Mr,U,1,1,7.925
0,3,female,21.0,S,Miss,U,2,0,4.9125
0,3,male,28.0,S,Mr,U,2,0,7.925
0,3,female,20.0,S,Miss,U,1,1,8.6625
0,2,male,34.0,S,Mr,U,2,0,10.5
0,3,male,51.0,S,Mr,U,1,1,7.75
1,2,male,3.0,S,Master,U,3,0,6.25
0,3,male,21.0,S,Mr,U,1,1,7.775
0,3,male,26.0,Q,Mr,U,1,1,6.8583
1,1,female,33.0,Q,Miss,C,2,0,45.0
1,3,male,44.0,S,Mr,U,1,1,7.925
0,3,female,31.0,S,Mrs,U,1,1,8.05
1,2,female,34.0,S,Mrs,U,3,0,10.833333333333334
1,2,female,18.0,S,Miss,U,3,0,4.333333333333333
0,3,female,10.0,S,Miss,U,3,0,8.049999999999999
0,3,male,21.0,Q,Mr,U,1,1,7.7333
